fixed acidity,volatile acidity,residual sugar,chlorides,free sulfur dioxide,sulphates,alcohol,type_binary,quality_binary
9.1,0.27,10.6,0.035,28.0,0.46,10.4,1,1
6.6,0.36,1.6,0.021,24.0,0.61,12.4,1,1
7.1,0.26,2.2,0.032,31.0,0.42,12.9,1,1
6.9,0.36,4.2,0.018,57.0,0.36,12.7,1,1
7.4,0.24,2.0,0.031,27.0,0.48,12.5,1,1
8.0,0.45,8.8,0.026,50.0,0.25,12.7,1,1
8.6,0.42,1.8,0.068,6.0,0.69,11.7,0,1
8.2,0.37,1.0,0.034,17.0,0.32,11.7,1,1
6.4,0.32,5.0,0.055,28.0,0.5,12.4,1,1
7.2,0.26,7.1,0.027,25.0,0.34,11.1,1,1
5.2,0.3,1.5,0.038,18.0,0.48,13.0,1,1
7.0,0.28,1.7,0.042,34.0,0.5,10.7,1,1
6.8,0.46,2.7,0.042,28.0,0.51,12.0,1,1
6.9,0.15,4.4,0.029,14.0,0.46,10.4,1,1
7.5,0.28,4.2,0.028,36.0,0.41,12.3,1,1
6.1,0.28,4.7,0.03,56.0,0.42,12.5,1,1
7.7,0.4,4.5,0.034,27.0,0.59,12.3,1,1
6.9,0.28,8.3,0.026,37.0,0.38,12.3,1,1
5.5,0.49,1.8,0.044,28.0,0.82,14.0,0,1
6.8,0.37,1.9,0.024,64.0,0.6,12.6,1,1
6.3,0.29,4.7,0.059,28.0,0.56,12.7,1,1
6.2,0.28,4.3,0.026,22.0,0.64,13.1,1,1
6.7,0.26,1.1,0.04,45.0,0.58,9.6,1,1
5.0,0.42,2.0,0.06,19.0,0.74,14.0,0,1
6.6,0.15,6.0,0.033,59.0,0.71,12.1,1,1
6.8,0.24,1.8,0.047,34.0,0.49,12.8,1,1
6.3,0.41,3.5,0.027,23.0,0.54,12.8,1,1
6.7,0.24,3.85,0.042,105.0,0.59,11.3,1,1
6.6,0.33,1.3,0.02,29.0,0.44,12.4,1,1
4.4,0.32,4.3,0.03,31.0,0.36,12.8,1,1
5.6,0.12,2.9,0.044,21.0,0.32,12.9,1,1
7.0,0.17,6.4,0.055,42.0,0.5,11.0,1,1
7.0,0.24,1.3,0.037,39.0,0.42,11.2,1,1
7.2,0.33,1.7,0.061,3.0,1.1,10.0,0,1
5.3,0.24,1.3,0.033,25.0,0.38,11.0,1,1
9.4,0.3,2.8,0.08,6.0,0.92,11.7,0,1
6.7,0.33,6.6,0.042,34.0,0.31,12.2,1,1
6.7,0.33,7.5,0.036,39.0,0.32,12.4,1,1
6.9,0.36,8.6,0.038,37.0,0.32,12.4,1,1
